Y X N W1 W2
0.7372 0.5905 14497 0.6061 0.9262
0.8518 0.2803 13263 0.646 0.932
0.6833 0.6147 23193 0.5374 0.916
0.8323 0.3533 16030 0.7078 0.9003
0.8529 0.0585 14649 0.6161 0.8676
0.6412 0.8279 21242 0.574 0.9647
0.7407 0.5213 20618 0.5785 0.9172
0.8366 0.2803 28537 0.6885 0.8942
0.767 0.5082 25580 0.608 0.9313
0.8011 0.1293 13924 0.6211 0.8279
0.8212 0.2048 16309 0.653 0.8645
0.6967 0.6109 12695 0.5598 0.9115
0.7303 0.5513 22088 0.5787 0.9164
0.8628 0.1275 14452 0.6308 0.8967
0.8265 0.0542 9164 0.5936 0.8399
0.7738 0.2223 18122 0.5492 0.8379
0.7925 0.3867 17782 0.6247 0.8984
0.7538 0.4603 15285 0.5975 0.8871
0.7963 0.363 11529 0.5885 0.9148
0.7913 0.2624 22830 0.6087 0.8563
0.8267 0.3106 16489 0.6658 0.8993
0.7934 0.263 15138 0.5901 0.866
0.6144 0.8081 40389 0.5286 0.976
0.7807 0.4734 20305 0.6074 0.9365
0.8126 0.3024 13274 0.6522 0.8822
0.8371 0.184 27995 0.6943 0.8693
0.8345 0.1145 11133 0.6314 0.8607
0.8104 0.1048 13220 0.6332 0.8312
0.7971 0.1642 17927 0.5751 0.8407
0.5676 0.8566 16268 0.5002 0.9704
0.6269 0.7792 19983 0.5431 0.9227
0.7477 0.4678 14306 0.5862 0.8895
0.8149 0.291 22857 0.6554 0.8804
0.8116 0.0952 22956 0.6482 0.8288
0.8664 0.4205 174724 0.7458 0.9539
0.8584 0.1776 11968 0.6226 0.9093
0.8272 0.2357 21832 0.6413 0.8846
0.7578 0.3262 15324 0.6279 0.8207
0.7032 0.5794 23629 0.5257 0.9478
0.7123 0.3861 18981 0.4527 0.8756
0.5491 0.8739 23040 0.4894 0.9628
0.6893 0.8353 18755 0.6368 0.9556
0.7698 0.4024 34607 0.6003 0.8839
0.562 0.7699 28845 0.4477 0.9442
0.8555 0.4382 63959 0.7108 0.9684
0.6888 0.5749 18840 0.5159 0.9227
0.7518 0.6843 63652 0.6457 0.9817
0.8468 0.2515 24621 0.6652 0.9078
0.6464 0.7817 22403 0.5636 0.9427
0.6518 0.5172 17805 0.4099 0.911
0.7444 0.4599 22004 0.5545 0.906
0.8281 0.2322 16792 0.6986 0.8672
0.6315 0.7607 18481 0.5424 0.9145
