Y X W1  W2  ICPSR
0.045202466 0.291846797 0.145636659 0.003811143 1
0.026541216 0.153396059 0.0853728 0.015881529 2
0.03500137 0.301126414 0.106979746 0.003987764 3
0.026694481 0.213576814 0.09595563 0.007884538 4
0.048657286 0.306146298 0.142766681 0.007133774 5
0.021524805 0.143229614 0.072070992 0.013074804 6
0.025203959 0.098517622 0.142712249 0.012362181 11
0.037599262 0.263947999 0.128569664 0.004977307 12
0.037062205 0.310553816 0.108343096 0.004954474 13
0.030440922 0.165689757 0.153832806 0.005935923 14
0.022770055 0.200200251 0.09030107 0.005866166 21
0.014205567 0.052765053 0.101098671 0.009365248 22
0.01869335 0.220147504 0.06692675 0.005077362 23
0.0205759 0.123151548 0.116277538 0.007134804 24
0.017936563 0.162656154 0.078153328 0.006239305 25
0.007090591 0.082944688 0.035941713 0.0044811 31
0.007667657 0.047928719 0.05920456 0.00507321 32
0.011668725 0.187966478 0.043343661 0.00433673 33
0.018071769 0.053195892 0.075326687 0.014854919 34
0.009827933 0.105670053 0.060263195 0.003868727 35
0.012326313 0.201279153 0.044401784 0.004243234 36
0.007713083 0.124256422 0.037021186 0.003554651 37
0.04880163 0.01714591 0.073591057 0.048369178 40
0.048633258 0.012190714 0.085494717 0.048178345 41
0.034953755 0.009674529 0.065823285 0.034652189 42
0.021317305 0.070420714 0.054219659 0.018824772 43
0.033493063 0.009755987 0.04008103 0.033428157 44
0.077076847 0.034047996 0.192354229 0.073013536 45
0.027616241 0.009233093 0.125910064 0.026700227 46
0.056284814 0.005197026 0.051945054 0.056307485 47
0.051388674 0.007367355 0.056690208 0.051349326 48
0.015927794 0.028828912 0.072992103 0.014233858 49
0.056581326 0.011937021 0.058327962 0.056560224 51
0.022418672 0.085531842 0.122245529 0.013081688 52
0.017854061 0.016248263 0.05551385 0.017232048 53
0.053595931 0.007869775 0.058246427 0.053559042 54
0.043138699 0.042101171 0.19189523 0.036600613 56
0.007085015 0.072256842 0.035756003 0.004851989 61
0.016783985 0.108706261 0.08615381 0.008323324 62
0.006840419 0.087909144 0.039684643 0.003674827 63
0.009578677 0.172652247 0.042607555 0.002686158 64
0.015188504 0.17835894 0.07450209 0.00231292 65
0.076931986 0.030971684 0.068343005 0.077206504 66
0.006617641 0.114790521 0.035687921 0.00284792 67
0.006991899 0.114592071 0.041513104 0.002524065 68
0.012793782 0.184915152 0.056907312 0.002785916 71
0.007322475 0.131966539 0.035895124 0.002978594 72
0.007917342 0.188164613 0.029491874 0.002916866 73
