Y X W1 W2 state county
0.009808835 0.007159734 0.09 0.009230547 22 590
0.048181999 0.009934433 0.43 0.044350793 56 1010
0.123895797 0.005626512 0.18 0.12357834 40 1670
0.015302869 0.010733262 0.079207921 0.014609518 34 570
0.040637534 0.010660756 0.04950495 0.040541982 22 790
0.027718766 0.010217501 0.04950495 0.027493868 21 1270
0.031776987 0.011586555 0.089108911 0.031104921 49 1990
0.030893918 0.008184882 0.029411765 0.030906149 52 350
0.007731092 0.017142857 0.107843137 0.005984952 53 590
0.036932569 0.008990745 0.049019608 0.036822912 48 850
0.001702852 0.043422733 0.009803922 0.001335113 62 1030
0.074908329 0.017984983 0.145631068 0.073613087 48 430
0.008439716 0.007304965 0.009708738 0.008430378 34 810
0.046119514 0.025539301 0.048543689 0.04605598 40 810
0.042474189 0.00932802 0 0.04287412 51 1790
0.115406754 0.009881044 0.077669903 0.115783354 34 2210
0.003951268 0.033915048 0.029126214 0.003067485 40 6500
0.013417093 0.008065767 0.076923077 0.012900704 21 250
0.001316656 0.068466096 0 0.001413428 68 390
0.087698326 0.005650945 0.009615385 0.088142077 42 1110
0.019419469 0.00426982 0.019230769 0.019420278 53 1370
0.026722925 0.012189405 0.028846154 0.026696725 34 1410
0.005972764 0.008282233 0.048076923 0.005621135 49 2790
0.094412844 0.00558184 0.238095238 0.09360633 54 130
0.01132457 0.021233569 0.028571429 0.010950413 43 270
0.04868414 0.005605082 0.095238095 0.048421731 51 470
0.005633803 0.042253521 0.047619048 0.003781513 63 810
0.005875632 0.008568631 0 0.005926414 49 4290
0.271094403 0.01475912 0.471698113 0.268089316 45 70
0.001666667 0.035333333 0.028301887 0.000691085 32 1090
0.012449187 0.026930894 0.037735849 0.011749347 49 2970
0.003717472 0.039776952 0.028037383 0.002710027 35 850
0.002326483 0.041488949 0.028037383 0.001213592 32 1010
0.011324112 0.008654857 0.037383178 0.011096606 22 1590
0.095260223 0.004143432 0.112149533 0.095189952 51 1770
0.033874292 0.013781556 0.336448598 0.029646075 49 4710
0.004171011 0.009384776 0.009259259 0.004122807 66 90
0.014474643 0.011246485 0.009259259 0.014533965 34 890
0.008927232 0.008102026 0.037037037 0.008697625 49 3530
0.186683769 0.012709888 0.064220183 0.188260305 66 610
0.068487336 0.015423801 0.100917431 0.067979304 34 930
0.005557099 0.010095397 0.018348624 0.005426647 32 1070
0.004964011 0.009017953 0.018348624 0.004842211 24 1170
0.045465451 0.013075816 0.036697248 0.045581621 34 1690
0.011167897 0.010316108 0.04587156 0.010806159 34 1850
0.011250827 0.009017207 0.04587156 0.010935804 49 2070
0.049572967 0.02042332 0 0.05060652 40 170
0.01790027 0.00781361 0.081818182 0.017396907 14 1190
0.140257649 0.017874396 0.126126126 0.140514838 66 530
0.02214349 0.004274656 0.009009009 0.022199876 54 1130
0.00360036 0.100810081 0.017857143 0.002002002 62 570
