Y X N HPCT DIST
0.772442758 0.556025386 240757 0.948873761 101
0.636181653 0.491232604 235760 0.955594673 102
0.664928317 0.495993853 236761 0.936256394 103
0.273834199 0.427683324 224879 0.905349099 104
0.263613105 0.40780127 239217 0.929453174 105
0.334192693 0.463986903 249451 0.945412125 106
0.632175267 0.436388463 300370 1 201
0.337903589 0.449370831 250330 1 202
0.172718108 0.583035111 230264 0.978281451 301
0.9999 0.526657283 216226 0.722679049 302
0.9999 0.494754016 244378 0.781596543 303
0.703131855 0.573527336 245861 0.981814928 304
0.9999 0.481470197 233246 0.779691828 305
0.697106659 0.510452449 257117 0.991101327 306
0.9999 0.538641274 247365 0.762626079 307
0.804349184 0.666264474 212177 0.97117501 308
0.9999 0.544589341 212663 0.756121187 309
0.666726053 0.513545215 280283 1 310
0.808176458 0.521750152 217470 0.965507886 311
0.396879852 0.355710506 226600 0.962338923 401
0.428218067 0.380052418 218633 0.957856316 402
0.443671674 0.423991144 196089 0.967147571 501
0.278767496 0.542440593 206795 0.973655069 502
0.476421297 0.48218286 240106 0.786998242 601
0.675166428 0.437239408 248221 0.944791134 1101
0.702823937 0.475355566 205442 0.983367568 1201
0.66499722 0.412408859 216700 0.933382557 1202
0.521258056 0.375388354 242682 0.925091272 1203
0.406641662 0.441702247 250447 0.775768925 1204
0.237979084 0.332924873 247275 0.931715701 1205
0.61617732 0.467418194 216179 0.901808224 1206
0.253912896 0.406810045 223200 0.920873656 1207
0.9999 0.455304563 188017 0.510783599 1208
0.675042212 0.463955849 228123 0.922199866 1209
0.859452546 0.790391505 115086 0.856133674 1210
0.295191556 0.35160476 241780 0.907548184 1211
0.301330239 0.376588017 261174 0.909267385 1212
0.305193096 0.381989956 258478 0.932501025 1213
0.687409937 0.550989926 169308 0.893602192 1214
0.508147299 0.395015508 216832 0.958626955 1301
0.616465628 0.385930449 183318 0.952541485 1302
0.584786177 0.401196212 236246 0.928938479 1303
0.282537758 0.411637336 228626 0.920792036 1304
0.338205487 0.438472688 221934 0.918340588 1305
0.858731687 0.723699212 142334 0.773202467 1306
0.9999 0.603277385 144567 0.644130403 1307
0.9999 0.592715859 171551 0.584316034 1308
0.9999 0.513522387 136958 0.531922195 1309
0.814925909 0.565054357 158406 0.829318334 1310
0.908614933 0.839631855 95393 0.850932458 1311
0.930125415 0.904099107 112074 0.712796902 1312
0.747007132 0.566795528 129567 0.840036429 1313
0.367004514 0.390100539 172676 0.907375663 1314
0.374511689 0.667998731 196186 0.876841365 1315
0.9999 0.884207845 129197 0.832991478 1316
0.843663394 0.790907502 214264 0.8703982 1317
0.929034889 0.875646532 104983 0.773677643 1318
0.673210502 0.54291749 158094 0.724961099 1319
0.514519393 0.482724279 216952 0.915870792 1320
0.239176273 0.381043732 219484 0.900917607 1321
0.273558348 0.42963323 226975 0.87471748 1322
0.617459476 0.568134487 247195 0.950253848 1323
0.276171595 0.410414964 241134 0.933667587 1324
0.0001 0.453036904 208930 0.623398649 1325
0.2495877 0.442790985 196962 0.886607569 1326
0.421045303 0.47071746 219397 0.98352302 1327
0.932 0.477090567 226697 0.672135053 1328
0.27872026 0.466397673 213631 0.860600756 1329
0.590206444 0.454887569 233849 0.930044601 1330
0.466136336 0.439089984 231998 0.950383193 1331
0.727232754 0.515002906 202927 0.907449477 1332
0.9999 0.666149616 195345 0.714653562 1333
0.0001 0.400660932 196992 0.66539758 1334
0.763152122 0.668560326 181128 0.926554702 1401
0.93713361 0.916093051 204405 0.962241628 1402
0.632124186 0.488729268 225540 0.951046378 1403
0.70300889 0.546853662 178812 0.986751448 1404
0.217918471 0.347172916 203956 0.962026123 1405
0.636125445 0.387592018 182963 0.980509721 1406
0.321845055 0.398654699 234002 0.979188212 1407
0.577783704 0.388107508 226950 0.977312183 1408
0.0001 0.365979105 167791 0.945831421 1409
0.267567635 0.418183893 192566 0.993295805 1410
0.9999 0.474384487 178954 0.674508533 1411
0.9999 0.527373314 182349 0.729814806 1412
0.334291279 0.435259581 239549 0.954355894 1413
0.786393225 0.732332885 191981 0.895401107 1414
0.425235659 0.449110538 188428 0.987528393 1415
0.260214031 0.301736146 189616 0.976252004 1416
0.0001 0.363580525 177416 0.937282996 1417
0.628382862 0.462958127 230118 0.946901155 1418
0.227518603 0.343426853 191179 0.984417745 1419
0.9999 0.652104557 193081 0.71199134 1420
0.212569401 0.507519901 185906 0.968876744 1421
0.724058032 0.650121689 177053 0.962802099 1422
0.375484318 0.430485487 171288 0.986940124 1423
0.960480571 0.960606933 181961 0.939091344 2101
0.827449203 0.853099823 176283 0.947833881 2102
0.622307956 0.413570762 222714 0.953204558 2103
0.502861857 0.443508506 186382 0.973940617 2104
0.612770557 0.481107146 161675 0.944456471 2105
0.263191015 0.313659847 214739 0.969684128 2106
0.9999 0.775367081 171088 0.791002291 2107
0.756582499 0.590533257 156020 0.912607358 2108
0.667281866 0.615196705 223114 0.910686913 2109
0.275195926 0.376272351 229302 0.953790198 2110
0.645082772 0.462283731 219229 0.931637694 2111
0.248180643 0.291601241 227962 0.968064853 2112
0.298393041 0.313647479 261118 0.955185012 2113
0.262921482 0.359358698 226292 0.966132254 2114
0.282759637 0.373001665 199227 0.980946358 2115
0.360719323 0.423149794 202179 0.993159527 2116
0.648681819 0.52943027 203311 1 2117
0.452932537 0.452225208 209148 1 2118
0.642379284 0.455635995 209821 0.985935631 2119
0.688727319 0.49194631 223748 0.995065878 2120
0.525968969 0.543455601 203610 0.988266785 2121
0.648775458 0.518779039 217956 0.98576777 2122
0.770943582 0.588463426 190785 0.939942868 2201
0.53200978 0.347395569 220970 0.994528669 2202
0.457116455 0.404799193 215119 0.995927835 2203
0.37853554 0.33154875 214617 0.995997521 2204
0.563170135 0.349112242 209288 0.986215168 2205
0.271134794 0.303530812 270816 0.973025966 2206
0.382081121 0.367760837 215477 0.980703277 2207
0.618145347 0.42303738 230547 0.991884518 2208
0.707186043 0.421448082 212942 0.977444562 2209
0.60544318 0.515149653 178057 0.981842893 2210
0.920888603 0.893406272 141650 0.979731733 2301
0.450128227 0.419475168 224943 0.970734808 2302
0.573421121 0.457823843 199461 0.98452329 2303
0.291529626 0.364450783 195903 0.95301246 2304
0.274009854 0.355922163 235987 0.972244234 2305
0.597942054 0.424369901 209890 0.960788985 2306
0.762151182 0.556785643 201336 0.982948901 2307
0.72078681 0.498529971 202718 0.957482809 2308
0.302170187 0.372814894 229221 0.936175132 2309
0.266280204 0.415841907 217234 0.957695388 2310
0.401306063 0.47267589 222203 0.970333434 2311
0.540957689 0.393832535 209259 0.955457113 2312
0.883166432 0.862275422 117096 0.964567534 2313
0.632857442 0.440740377 192281 0.917209709 2314
0.647416711 0.457098126 175004 0.923173185 2315
0.9999 0.462648958 197277 0.673038418 2316
0.710540652 0.533973873 197446 0.96578305 2317
0.218378082 0.294786304 272360 0.918717873 2318
0.564638734 0.367840976 208408 1 2401
0.276852101 0.375414282 222064 0.953774588 2402
0.768905342 0.451730698 193622 0.953491855 2403
0.0001 0.319134712 206499 0.775301575 2404
0.393872052 0.383572042 208425 0.980256687 2405
0.256919026 0.351467222 211115 0.970418966 2406
0.261231989 0.355201632 196083 0.984379064 2407
0.241498068 0.309010327 213022 0.954117415 2408
0.813239396 0.538392127 200523 0.966173456 2409
0.28366223 0.387751013 205307 0.976907753 2410
0.61491996 0.447006434 209950 0.96512503 2411
0.198620111 0.383050203 225289 0.869571972 2412
0.69807142 0.460648984 202968 0.967448071 2413
0.747344553 0.529066443 208333 0.956675131 2414
0.248569459 0.372352898 219437 0.93815537 2415
0.214442581 0.42770645 203310 0.994441985 2416
0.772260129 0.620460749 210139 1 2417
0.776190937 0.522946656 196957 0.989728723 2418
0.704899669 0.451060086 255354 0.933699883 2419
0.825823605 0.572684109 181484 0.978923762 2420
0.856783211 0.809622884 177889 0.973595894 2421
0.761639416 0.515134156 221453 0.940027907 2501
0.585040808 0.559838772 259255 0.99885441 2502
0.31649223 0.528271139 239184 0.963475818 2503
0.9999 0.563709855 249820 0.709642943 2504
0.642147839 0.642635286 225677 0.969638022 2505
0.25753215 0.455559194 234773 0.951876919 2506
0.62292248 0.543231189 237190 0.962409882 2507
0.302971452 0.469711065 249596 0.961485761 2508
0.250926763 0.397625744 257345 0.960174085 2509
0.387336582 0.551767647 193480 0.951137068 3101
0.432231069 0.567504883 200867 0.995589121 3102
0.633707047 0.570292413 207967 0.980376694 3103
0.716795743 0.591131866 222211 0.986094298 3104
0.361244291 0.52178371 193057 0.954951128 3105
