X Y N W1 W2
0.2475 0.8875 40000 0.55555556 0.99667774
0.18181818 0.95454545 4400 0.75 1
0.13550136 0.80758808 36900 0.64 0.8338558
0.1884058 0.85507246 6900 0.69230769 0.89285714
0.072625698 0.97206704 89500 0.61538462 1
0.11002445 0.96821516 245400 0.71111111 1
0.13636364 0.95454545 4400 0.66666667 1
0.028571429 1 14000 1 1
0.086021505 0.97849462 9300 0.75 1
0.10569106 0.97560976 12300 0.76923077 1
0.10769231 0.95384615 13000 0.57142857 1
0.2421875 0.953125 12800 0.80645161 1
0.1233279 0.7548124 613000 0.79365079 0.74934872
0.17105263 0.72368421 7600 0.69230769 0.73015873
0.12121212 1 3300 1 1
0.22273074 0.78032037 262200 0.73116438 0.79440628
0.19007392 0.84899683 94700 0.75555556 0.87092568
0.28571429 0.85714286 2800 0.5 1
0.18181818 0.93181818 4400 0.625 1
0.5125 0.48333333 24000 0.38211382 0.58974359
0.095238095 0.95238095 2100 0.5 1
0.38888889 0.72222222 1800 0.28571429 1
0.23636364 0.87272727 5500 0.53846154 0.97619048
0.36363636 0.88636364 4400 0.6875 1
0.069444444 0.77777778 7200 0.6 0.79104478
0.24489796 0.91836735 4900 0.66666667 1
0.16 0.96 7500 0.75 1
0.16197183 0.94366197 14200 0.65217391 1
0.12688698 0.84210526 245100 0.73311897 0.85794393
0.03030303 1 6600 1 1
0.16352201 0.94339623 15900 0.65384615 1
0.27692308 0.78974359 19500 0.61111111 0.85815603
0.50980392 0.78431373 5100 0.57692308 1
0.1 0.95 2000 0.5 1
0.17344173 0.72086721 36900 0.359375 0.79672131
0.10375276 0.9602649 45300 0.61702128 1
0.29146919 0.87203791 42200 0.56097561 1
0.25806452 0.83870968 6200 0.375 1
0.090909091 1 2200 1 1
0.4025974 0.87012987 7700 0.67741935 1
0.11134454 0.8592437 47600 0.52830189 0.90070922
0.2971246 0.87859425 31300 0.59139785 1
0.13953488 0.96899225 12900 0.77777778 1
0.10211268 0.67957746 28400 0.62068966 0.68627451
0.22826087 0.89130435 9200 0.71428571 0.94366197
0.063829787 0.86322188 32900 0.57142857 0.88311688
0.125 0.975 4000 0.8 1
0.13659148 0.77318296 159600 0.48623853 0.81857765
0.085271318 0.96899225 12900 0.63636364 1
0.1887396 0.93090211 156300 0.63389831 1
0.068181818 0.96306818 35200 0.45833333 1
0.066179159 0.92431444 273500 0.62983425 0.94518403
0.16480687 0.79828326 116500 0.53125 0.85097636
0.28021978 0.72527473 18200 0.41176471 0.84732824
0.23756906 0.7679558 18100 0.48837209 0.85507246
0.2742616 0.89873418 23700 0.64615385 0.99418605
0.06875 0.98125 16000 0.72727273 1
0.073476703 0.96057348 55800 0.46341463 1
0.73899371 0.29874214 95400 0.05106383 1
0.21126761 0.94366197 7100 0.73333333 1
0.24418605 0.89534884 8600 0.57142857 1
0.22972973 0.91891892 7400 0.64705882 1
0.275 0.575 4000 0.27272727 0.68965517
0.13519814 0.93822844 85800 0.67241379 0.97978437
0.22222222 0.97222222 3600 0.875 1
0.11702128 0.96808511 9400 0.72727273 1
0.15625 0.953125 6400 0.7 1
0.17037037 0.91851852 27000 0.86956522 0.92857143
0.21495327 0.95327103 10700 0.86956522 0.97619048
0.2745098 0.94117647 15300 0.78571429 1
0.35164835 0.85714286 9100 0.6875 0.94915254
0.22926829 0.83902439 20500 0.68085106 0.88607595
0.19444444 0.92592593 10800 0.61904762 1
0.42268041 0.75257732 9700 0.58536585 0.875
0.22295082 0.61311475 30500 0.30882353 0.70042194
0.32200772 0.58378378 129500 0.32613909 0.70615034
0.19127086 0.75224647 77900 0.65771812 0.77460317
0.21818182 0.90909091 5500 0.58333333 1
0.076923077 0.97435897 3900 1 0.97222222
0.28787879 0.86363636 6600 0.52631579 1
0.43859649 0.71052632 11400 0.56 0.828125
0.39316239 0.87179487 11700 0.67391304 1
0.5112782 0.66165414 13300 0.41176471 0.92307692
0.29543635 0.82786229 124900 0.59891599 0.92386364
0.58333333 0.45833333 7200 0.071428571 1
0.46564885 0.29770992 13100 0.06557377 0.5
0.2173913 1 18400 1 1
0.32835821 0.70149254 13400 0.20454545 0.94444444
0.19277108 0.92771084 8300 0.625 1
0.26277372 0.92335766 27400 0.81944444 0.96039604
0.44936709 0.90506329 15800 0.83098592 0.96551724
0.27472527 0.87912088 9100 0.72 0.93939394
0.12541806 0.95986622 119600 0.68 1
0.1835443 0.81012658 15800 0.68965517 0.8372093
0.21111111 0.93111111 45000 0.75789474 0.97746479
0.10652921 0.96907216 29100 0.70967742 1
0.10126582 0.98734177 7900 0.875 1
0.37254902 0.74509804 15300 0.49122807 0.89583333
0.10169492 0.98870056 17700 0.88888889 1
0.58426966 0.7752809 8900 0.61538462 1
0.41142857 0.65714286 17500 0.36111111 0.86407767
0.39572193 0.85026738 18700 0.7027027 0.94690265
0.32820245 0.58361597 383300 0.53338633 0.60815534
0.28975265 0.58833922 56600 0.15243902 0.76616915
0.25217391 0.73043478 11500 0.068965517 0.95348837
0.46491228 0.90350877 11400 0.83018868 0.96721311
0.28775835 0.71701113 62900 0.51933702 0.796875
0.37288136 0.88135593 5900 0.68181818 1
0.37704918 0.68852459 12200 0.36956522 0.88157895
0.20192308 0.93269231 10400 0.66666667 1
0.046218487 0.98739496 23800 0.72727273 1
0.2231405 1 12100 1 1
0.4375 0.97916667 4800 0.95238095 1
0.43956044 0.92307692 9100 0.825 1
0.43434343 0.96969697 9900 0.93023256 1
0.36945813 0.89408867 40600 0.83333333 0.9296875
0.30718954 0.9869281 15300 0.95744681 1
0.27906977 0.9379845 25800 0.77777778 1
0.17605634 0.95422535 28400 0.74 1
0.29652997 0.87697161 31700 0.62765957 0.98206278
0.59322034 0.74576271 5900 0.57142857 1
0.18394649 0.80602007 29900 0.50909091 0.87295082
0.2970297 0.88118812 10100 0.6 1
0.11353712 1 22900 1 1
0.098360656 0.96721311 12200 0.66666667 1
0.28813559 0.8559322 23600 0.55882353 0.97619048
0.30837004 0.77092511 22700 0.55714286 0.86624204
0.43209877 0.87654321 8100 0.71428571 1
0.18421053 0.76315789 7600 0.28571429 0.87096774
0.62162162 0.2972973 7400 0.2826087 0.32142857
0.27659574 0.87234043 9400 0.57692308 0.98529412
0.14741036 0.74302789 50200 0.56756757 0.77336449
0.054945055 0.98901099 9100 0.8 1
0.021276596 0.55319149 4700 0 0.56521739
0.4 0.66923077 13000 0.46153846 0.80769231
0.008264463 0.99173554 12100 0 1
0.015151515 0.48484848 6600 0 0.49230769
0.31155779 0.73869347 19900 0.32258065 0.9270073
0.48461538 0.9 13000 0.79365079 1
0.35664336 0.68531469 14300 0.50980392 0.7826087
0.2962963 0.87037037 10800 0.75 0.92105263
0.10532838 0.70384139 80700 0.50588235 0.72714681
0.060509554 0.77707006 31400 0.78947368 0.77627119
0.13300493 0.66995074 40600 0.46296296 0.70170455
0.0625 0.79779412 27200 0.70588235 0.80392157
0.35483871 0.41935484 3100 0.27272727 0.5
0.10614525 0.37988827 17900 0.21052632 0.4
0.40594059 0.45544554 10100 0.36585366 0.51666667
0.078947368 0.89473684 41800 0.72727273 0.90909091
0.26315789 0.55263158 15200 0.425 0.59821429
0.021505376 0.47311828 9300 0 0.48351648
0.3968254 0.66666667 6300 0.44 0.81578947
0.17615176 0.77777778 36900 0.55384615 0.82565789
0.29365079 0.42857143 25200 0.31081081 0.47752809
0.26282051 0.52564103 31200 0.46341463 0.54782609
0.24383917 0.44487678 77100 0.40425532 0.45797599
0.28205128 0.82051282 3900 0.45454545 0.96428571
0.054054054 0.54054054 3700 0.5 0.54285714
0.097826087 0.95217391 46000 0.73333333 0.97590361
0.11 0.86 10000 0.63636364 0.88764045
0.31531532 0.82882883 22200 0.45714286 1
0.29279279 0.83033033 66600 0.76410256 0.85774947
0.44244604 0.6618705 27800 0.43089431 0.84516129
0.2228164 0.84402852 112200 0.772 0.8646789
0.36363636 0.68181818 15400 0.48214286 0.79591837
0.11570248 0.73002755 72600 0.58333333 0.74922118
0.46 0.64 5000 0.47826087 0.77777778
0.029411765 0.97058824 3400 0 1
0.37634409 0.75268817 18600 0.42857143 0.94827586
0.40740741 0.72839506 8100 0.48484848 0.89583333
0.18958333 0.71319444 144000 0.58974359 0.74207369
0.45544554 0.7359736 30300 0.43478261 0.98787879
0.23574144 0.72623574 26300 0.41935484 0.82089552
0.021186441 0.59322034 23600 0.4 0.5974026
0.053811659 0.88340807 22300 0.5 0.90521327
0.52136752 0.76923077 11700 0.6557377 0.89285714
0.48051948 0.66233766 7700 0.54054054 0.775
0.33333333 0.66666667 3300 0.54545455 0.72727273
0.15027322 0.83879781 36600 0.58181818 0.88424437
0.08 0.91 10000 0.25 0.9673913
0.18443804 0.86455331 34700 0.484375 0.95053004
0.41818182 0.70909091 5500 0.56521739 0.8125
0.18918919 0.87162162 14800 0.75 0.9
0.34797297 0.64527027 29600 0.45631068 0.74611399
0.091463415 0.89634146 16400 0.73333333 0.91275168
0.051612903 0.76774194 15500 0.5 0.78231293
0.022727273 0.54545455 8800 0 0.55813953
0.010309278 0.77319588 9700 0 0.78125
0.41304348 0.78985507 13800 0.57894737 0.9382716
0.2164557 0.7943038 158000 0.5497076 0.86187399
0.19811321 0.94339623 10600 0.71428571 1
0.23414634 0.64390244 20500 0.375 0.72611465
0.32716049 0.7191358 32400 0.50943396 0.82110092
0.25118483 0.73459716 42200 0.52830189 0.80379747
0.52898551 0.88405797 13800 0.78082192 1
0.12820513 0.37435897 39000 0.38 0.37352941
0.20491803 0.88934426 24400 0.64 0.95360825
0.30188679 0.69811321 5300 0.5625 0.75675676
0.34265734 0.61538462 14300 0.44897959 0.70212766
0.42268041 0.65979381 9700 0.41463415 0.83928571
0.39215686 0.39215686 5100 0.35 0.41935484
0.29577465 0.86619718 14200 0.69047619 0.94
0.37569061 0.72375691 36200 0.47058824 0.87610619
0.11594203 0.56521739 6900 0.375 0.59016393
0.072222222 0.91388889 36000 0.57692308 0.94011976
0.25581395 0.85581395 21500 0.70909091 0.90625
0.50591017 0.53900709 42300 0.31775701 0.76555024
0.18137255 0.68872549 40800 0.59459459 0.70958084
0.14371257 0.7005988 50100 0.51388889 0.73193473
0.097744361 0.52255639 26600 0.34615385 0.54166667
0.3203125 0.421875 25600 0.2804878 0.48850575
0.376 0.704 12500 0.46808511 0.84615385
0.090534979 0.81481481 24300 0.54545455 0.84162896
0.078125 0.6484375 12800 0.8 0.63559322
0.04964539 0.74822695 28200 0.57142857 0.75746269
0.17021277 0.72340426 4700 0 0.87179487
0.043956044 0.97802198 9100 1 0.97701149
0.33333333 0.625 2400 0.5 0.6875
0.18032787 0.73770492 24400 0.40909091 0.81
0.37142857 0.86857143 17500 0.73846154 0.94545455
0.22968907 0.78335005 99700 0.45851528 0.88020833
0.55555556 0.57575758 9900 0.34545455 0.86363636
0.37142857 0.84285714 7000 0.65384615 0.95454545
0.010309278 0.72164948 9700 0 0.72916667
0.35033259 0.51884701 45100 0.3164557 0.62798635
0.07751938 0.82170543 25800 1 0.80672269
0.34394904 0.63694268 31400 0.37037037 0.77669903
0.044117647 0.91176471 13600 0.66666667 0.92307692
0.0125 0.4375 8000 0 0.44303797
0.26890756 0.60504202 11900 0.375 0.68965517
0.2293578 0.72706422 43600 0.51 0.79166667
0.56140351 0.73684211 5700 0.625 0.88
0.16812609 0.5061296 57100 0.3125 0.54526316
0.46341463 0.70731707 8200 0.57894737 0.81818182
0.35955056 0.86516854 8900 0.6875 0.96491228
0.37305699 0.51295337 19300 0.59722222 0.46280992
0.40641711 0.9197861 18700 0.80263158 1
0.55932203 0.61016949 5900 0.45454545 0.80769231
0.31305115 0.61463845 113400 0.53521127 0.6508344
0.17525773 0.71134021 19400 0.52941176 0.75
0.33727811 0.64497041 16900 0.52631579 0.70535714
0.30057803 0.82080925 17300 0.65384615 0.89256198
0.59689922 0.75968992 12900 0.5974026 1
0.43055556 0.72916667 14400 0.56451613 0.85365854
0.37218045 0.67669173 26600 0.50505051 0.77844311
0.38732394 0.66901408 14200 0.50909091 0.77011494
0.37762238 0.93706294 14300 0.83333333 1
0.48101266 0.59493671 7900 0.31578947 0.85365854
0.52380952 0.73333333 10500 0.65454545 0.82
0.37209302 0.74418605 43000 0.59375 0.83333333
0.44720497 0.7515528 16100 0.63888889 0.84269663
0.15371901 0.60165289 121000 0.47849462 0.62402344
0.26153846 0.66153846 26000 0.42647059 0.74479167
0.46590909 0.75 8800 0.58536585 0.89361702
0.21203438 0.64756447 34900 0.52702703 0.68
0.55 0.66666667 6000 0.57575758 0.77777778
0.34302326 0.72674419 17200 0.44067797 0.87610619
0.22857143 0.78571429 21000 0.54166667 0.85802469
0.2556391 0.59022556 26600 0.48529412 0.62626263
0.55102041 0.68367347 9800 0.5 0.90909091
0.14285714 0.875 33600 0.64583333 0.91319444
0.53658537 0.68292683 4100 0.5 0.89473684
0.48734177 0.59493671 15800 0.48051948 0.7037037
0.41843972 0.73049645 14100 0.52542373 0.87804878
0.29069767 0.70348837 17200 0.46 0.80327869
0.1 0.60454545 22000 0.5 0.61616162
0.5147929 0.81065089 33800 0.7183908 0.90853659
0.090909091 0.625 26400 0.45833333 0.64166667
0.29274843 0.61862131 111700 0.59327217 0.62911392
0.29113924 0.7721519 7900 0.60869565 0.83928571
0.18826135 0.65891473 90300 0.46470588 0.70395634
0.41176471 0.52673797 37400 0.49350649 0.55
0.24260355 0.76331361 16900 0.51219512 0.84375
0.5801105 0.72375691 18100 0.61904762 0.86842105
0.24285714 0.57142857 42000 0.41176471 0.62264151
