X	Y	N	BB	BW
0.2475 0.6558868 NA 0.3032047 0.7718853
0.1818182 0.346623 NA 0.4235525 0.3295275
0.1355014 0.8343831 NA 0.8481169 0.8322305
0.1884058 0.7013792 NA 0.3387323 0.7855651
0.0726257 0.8284434 NA 0.4990921 0.854236
0.1100244 0.5802159 NA 0.07421034 0.6427715
0.1363636 0.8739788 NA 0.3088941 0.9632027
0.0860215 0.2580109 NA 0.01151019 0.2812109
0.1056911 0.8187495 NA 0.06386275 0.9079634
0.1076923 0.940979 NA 0.911484 0.9445387
0.2421875 0.6823164 NA 0.05662031 0.882281
0.1233279 0.8624122 NA 0.3660328 0.9322416
0.1710526 0.6244701 NA 0.05549123 0.7418785
0.2227307 0.5362908 NA 0.06866451 0.6702917
0.1900739 0.9082366 NA 0.8250667 0.927755
0.2857143 0.7059732 NA 0.03043641 0.9761879
0.1818182 0.3070860 NA 0.005733003 0.3740533
0.5125 0.5834072 NA 0.1969174 0.9897171
0.0952381 0.7564861 NA 0.3989318 0.7941234
0.3888889 0.2467081 NA 0.1726118 0.2938603
0.2363636 0.6152407 NA 0.1119725 0.7710142
0.3636364 0.3979763 NA 0.0439839 0.6002577
0.06944444 0.8762844 NA 0.877978 0.876158
0.2448980 0.7856191 NA 0.738694 0.800838
0.16 0.6109944 NA 0.6495874 0.6036433
0.1619718 0.7065728 NA 0.008070336 0.8415775
0.1268870 0.647989 NA 0.0946253 0.7284078
0.163522 0.5765562 NA 0.2701003 0.6364649
0.2769231 0.6025048 NA 0.6733862 0.5753587
0.5098039 0.3261455 NA 0.1982372 0.45917
0.1 0.8703514 NA 0.8151913 0.8764803
0.1734417 0.3213897 NA 0.08750265 0.3704676
0.1037528 0.85242 NA 0.6230795 0.8789692
0.2914692 0.798844 NA 0.5029 0.9205868
0.2580645 0.665484 NA 0.09283458 0.8646665
0.4025974 0.4489985 NA 0.06033423 0.7109244
0.1113445 0.5597669 NA 0.06832236 0.6213427
0.2971246 0.8108356 NA 0.717672 0.8502183
0.1395349 0.660281 NA 0.090038 0.7527529
0.1021127 0.413496 NA 0.006512989 0.4597803
0.2282609 0.6065839 NA 0.2599423 0.7091117
0.06382979 0.4756309 NA 0.03859014 0.5054291
0.125 0.2736484 NA 0.02153774 0.3096642
0.1365915 0.6176428 NA 0.2704843 0.6725633
0.08527132 0.7209838 NA 0.3916472 0.7516846
0.1887396 0.1552123 NA 0.09634545 0.1689076
0.06818182 0.295834 NA 0.1704538 0.3050082
0.06617916 0.4354221 NA 0.01315488 0.4653479
0.1648069 0.8245923 NA 0.2134907 0.9451797
0.2802198 0.2406134 NA 0.04076157 0.3184184
0.2375691 0.7891998 NA 0.3598898 0.9229703
0.2742616 0.0874321 NA 0.006302116 0.1180917
0.06875 0.8313525 NA 0.05890687 0.8883787
0.0734767 0.4057368 NA 0.09254157 0.4305743
0.7389937 0.4366664 NA 0.4412467 0.4236981
0.2112676 0.4653451 NA 0.4069876 0.4809765
0.2441860 0.4879825 NA 0.006105036 0.643666
0.2297297 0.4782276 NA 0.0774601 0.5977547
0.275 0.5333633 NA 0.1370692 0.6836818
0.1351981 0.07174406 NA 0.02339162 0.07930321
0.2222222 0.7619127 NA 0.1419972 0.9390315
0.1170213 0.3054051 NA 0.3319065 0.3018928
0.15625 0.6988953 NA 0.5806074 0.7208005
0.1703704 0.7325567 NA 0.02703458 0.8774407
0.2149533 0.8815508 NA 0.6032846 0.9577428
0.2745098 0.7603689 NA 0.1827025 0.9789454
0.3516483 0.3200702 NA 0.06558953 0.4580937
0.2292683 0.6707035 NA 0.1165267 0.8355535
0.1944444 0.8340746 NA 0.5253505 0.9085942
0.4226804 0.4837038 NA 0.1772319 0.708085
0.2229508 0.5110508 NA 0.008202667 0.655328
0.3220077 0.4102712 NA 0.07175307 0.571048
0.1912709 0.2247707 NA 0.1294532 0.2473141
0.2181818 0.1636365 NA 0.02960344 0.2010411
0.07692308 0.1775120 NA 0.09459043 0.1844222
0.2878788 0.6128071 NA 0.1359118 0.8055945
0.4385965 0.6040293 NA 0.2265563 0.89893
0.3931624 0.4633776 NA 0.1557616 0.6626781
0.5112782 0.5824665 NA 0.4974755 0.6713802
0.2954364 0.799885 NA 0.5171205 0.9184534
0.5833333 0.1063325 NA 0.03807338 0.2018952
0.4656489 0.5160436 NA 0.1644407 0.8224404
0.3283582 0.6087675 NA 0.1752074 0.8207301
0.1927711 0.2951339 NA 0.05005772 0.3536595
0.2627737 0.4605664 NA 0.06966296 0.5998983
0.4493671 0.2977090 NA 0.003779772 0.5375822
0.2747253 0.6304961 NA 0.457554 0.6960044
0.1254181 0.3931695 NA 0.4559979 0.3841597
0.1835443 0.4738963 NA 0.2131630 0.5325107
0.2111111 0.3519015 NA 0.00612616 0.4444329
0.1065292 0.7605795 NA 0.7485179 0.7620177
0.1012658 0.5323521 NA 0.1150635 0.5793706
0.372549 0.5766217 NA 0.2139217 0.7919749
0.1016949 0.5400301 NA 0.7319503 0.5183033
0.5842697 0.5418178 NA 0.5372615 0.5482213
0.4114286 0.3441839 NA 0.02334007 0.5684631
0.3957219 0.7135718 NA 0.5173334 0.8420819
0.3282024 0.5605129 NA 0.09534359 0.7877684
0.2897527 0.4874008 NA 0.1827103 0.6117024
0.2521739 0.314698 NA 0.02843272 0.4112293
0.4649123 0.2259445 NA 0.08985173 0.3441891
0.2877583 0.6103658 NA 0.04250156 0.8397931
0.3728814 0.372683 NA 0.1128953 0.5271514
0.3770492 0.3965621 NA 0.3523787 0.4233047
0.2019231 0.5601374 NA 0.3282075 0.6188185
0.04621849 0.778241 NA 0.3867531 0.7972117
0.4375 0.6181743 NA 0.3745166 0.807686
0.4395604 0.738733 NA 0.4318596 0.979418
0.4343434 0.920781 NA 0.9046925 0.9331347
0.3694581 0.2608085 NA 0.009385518 0.4081266
0.3071895 0.3289019 NA 0.304332 0.3397960
0.2790698 0.7380241 NA 0.8569377 0.6919931
0.1760563 0.43868 NA 0.05631879 0.5203811
0.2965300 0.4099553 NA 0.580885 0.3379042
0.5932203 0.5303984 NA 0.3010981 0.8647947
0.1839465 0.8027822 NA 0.3435508 0.9062975
0.2970297 0.2878881 NA 0.1555348 0.3438121
0.09836066 0.8207142 NA 0.3648223 0.8704479
0.2881356 0.1324136 NA 0.03275113 0.1727532
0.3083700 0.660194 NA 0.0101259 0.9500332
0.4320988 0.5325434 NA 0.5839217 0.4934513
0.1842105 0.7406765 NA 0.1202725 0.8807677
0.6216216 0.2846675 NA 0.03059459 0.7020729
0.2765957 0.1716053 NA 0.1639655 0.1745265
0.1474104 0.7393759 NA 0.05705151 0.8573479
0.05494505 0.7697918 NA 0.3454053 0.7944655
0.02127660 0.9535228 NA 0.4069946 0.9654039
0.4 0.08737722 NA 0.0839777 0.08964357
0.008264463 0.3238312 NA 0.0560805 0.3260624
0.01515152 0.849237 NA 0.5694482 0.8535414
0.3115578 0.2447661 NA 0.04654108 0.3344737
0.4846154 0.4845296 NA 0.04319238 0.8995182
0.3566434 0.5546674 NA 0.0919586 0.811169
0.2962963 0.1348685 NA 0.2322667 0.09385872
0.1053284 0.3279193 NA 0.08246837 0.3568159
0.06050955 0.4985731 NA 0.07523288 0.5258391
0.1330049 0.715784 NA 0.09735404 0.8106568
0.0625 0.0888382 NA 0.0820472 0.08929093
0.3548387 0.5704742 NA 0.04347106 0.860326
0.1061452 0.7237238 NA 0.2155395 0.7840707
0.4059406 0.5977759 NA 0.2054827 0.8658429
0.07894737 0.2304470 NA 0.02206455 0.2483083
0.2631579 0.6765247 NA 0.01992469 0.9110247
0.02150538 0.5336532 NA 0.1945114 0.5411068
0.3968254 0.5480347 NA 0.4725999 0.5976628
0.1761518 0.7791304 NA 0.06720915 0.9313504
0.2936508 0.2090552 NA 0.1652719 0.2272573
0.2628205 0.948686 NA 0.8661473 0.9781129
0.2438392 0.7154497 NA 0.7663204 0.6990454
0.2820513 0.9292027 NA 0.8279642 0.968975
0.05405405 0.5990588 NA 0.7826302 0.588569
0.09782609 0.5635083 NA 0.03506384 0.6208095
0.11 0.5746784 NA 0.128599 0.6298119
0.3153153 0.1199873 NA 0.03302432 0.1600361
0.2927928 0.4350692 NA 0.04638254 0.5959904
0.442446 0.2689121 NA 0.1018470 0.4014863
0.2228164 0.6150595 NA 0.1430051 0.7503961
0.3636364 0.958978 NA 0.9197237 0.981409
0.1157025 0.2867388 NA 0.04865725 0.3178896
0.46 0.3255537 NA 0.1121336 0.507356
0.02941176 0.7780981 NA 0.1920206 0.795858
0.3763441 0.4480603 NA 0.6111708 0.3496315
0.4074074 0.4001976 NA 0.07195481 0.6258645
0.1895833 0.2648366 NA 0.007742848 0.3249793
0.4554455 0.3401463 NA 0.1031951 0.5383236
0.2357414 0.231292 NA 0.01656387 0.2975265
0.02118644 0.9729752 NA 0.81765 0.9763372
0.05381166 0.8812483 NA 0.7630527 0.8879704
0.5213675 0.6371164 NA 0.3948492 0.9010146
0.4805195 0.5466903 NA 0.3497083 0.7288986
0.3333333 0.3369147 NA 0.1861022 0.412321
0.1502732 0.4900597 NA 0.03778088 0.5700446
0.08 0.861646 NA 0.1941431 0.9196897
0.1844380 0.5201342 NA 0.00421234 0.6368091
0.4181818 0.527121 NA 0.0986151 0.8351096
0.1891892 0.4583838 NA 0.05070556 0.5535087
0.347973 0.5760509 NA 0.1363728 0.8106977
0.09146342 0.6061234 NA 0.05361702 0.6617448
0.0516129 0.4591012 NA 0.5055947 0.4565709
0.02272727 0.8098775 NA 0.7848422 0.8104597
0.01030928 0.8678941 NA 0.0258662 0.8766652
0.4130435 0.1598608 NA 0.1224503 0.1861867
0.2164557 0.3737078 NA 0.09508167 0.4506788
0.1981132 0.713188 NA 0.02868504 0.8823004
0.2341463 0.5111919 NA 0.09881112 0.63727
0.3271605 0.2722677 NA 0.1489206 0.3322437
0.2511848 0.8712978 NA 0.6481595 0.946148
0.5289855 0.9335572 NA 0.9313578 0.9360272
0.1282051 0.5255157 NA 0.5232016 0.525856
0.2049180 0.4466592 NA 0.113403 0.5325499
0.3018868 0.5385199 NA 0.07749584 0.7378817
0.3426573 0.1931090 NA 0.0842 0.2498808
0.4226804 0.7747065 NA 0.7797207 0.7710354
0.3921569 0.1582729 NA 0.06185406 0.2204787
0.2957746 0.7463892 NA 0.3328193 0.9200886
0.3756906 0.3390655 NA 0.06655827 0.5030522
0.1159420 0.7585001 NA 0.2055052 0.831024
0.07222222 0.9312647 NA 0.3923867 0.9732133
0.2558140 0.309901 NA 0.1961749 0.3489943
0.5059102 0.7834533 NA 0.715401 0.8531336
0.1813725 0.7939651 NA 0.378179 0.8860854
0.1437126 0.3845951 NA 0.1098204 0.4307111
0.09774436 0.6056306 NA 0.05396885 0.6653939
0.3203125 0.4460673 NA 0.1290567 0.5954631
0.376 0.643106 NA 0.3260434 0.8341565
