FIPS X Y
1001 0.71 0.42
1003 0.76 0.21
1005 0.69 0.52
1007 0.8 0.31
1009 0.73 0.03
1011 0.5 0.72
1013 0.76 0.45
1015 0.72 0.19
1017 0.74 0.37
1019 0.84 0.1
1021 0.74 0.16
1023 0.69 0.5
1025 0.71 0.5
1027 0.81 0.16
1029 0.83 0.06
1031 0.83 0.21
1033 0.73 0.19
1035 0.73 0.45
1037 0.73 0.36
1039 0.87 0.16
1041 0.82 0.31
1043 0.64 0.01
1045 0.84 0.18
1047 0.53 0.58
1049 0.55 0.02
1051 0.76 0.34
1053 0.79 0.33
1055 0.69 0.15
1057 0.75 0.16
1059 0.64 0.06
1061 0.92 0.15
1063 0.39 0.81
1065 0.55 0.71
1067 0.8 0.46
1069 0.84 0.27
1071 0.78 0.06
1073 0.52 0.35
1075 0.89 0.15
1077 0.71 0.12
1079 0.82 0.22
1081 0.59 0.37
1083 0.81 0.21
1085 0.56 0.81
1087 0.25 0.83
1089 0.57 0.19
1091 0.57 0.62
1093 0.76 0.03
1095 0.76 0.02
1097 0.67 0.32
1099 0.7 0.51
1101 0.58 0.38
1103 0.76 0.13
1105 0.5 0.66
1107 0.7 0.45
1109 0.68 0.41
1111 0.75 0.26
1113 0.67 0.49
1117 0.72 0.19
1115 0.73 0.17
1119 0.45 0.76
1121 0.73 0.32
1123 0.77 0.29
1125 0.65 0.29
1127 0.74 0.1
1129 0.8 0.33
1131 0.56 0.78
1133 0.54 0.01
5001 0.5 0.25
5003 0.56 0.37
5005 0.22 0.0001
5007 0.25 0.0001
5009 0.29 0.0001
5011 0.53 0.35
5013 0.55 0.35
5015 0.23 0.0001
5017 0.39 0.57
5019 0.39 0.26
5021 0.36 0.0001
5023 0.4 0.0001
5025 0.71 0.25
5027 0.47 0.36
5029 0.3 0.22
5031 0.43 0.03
5033 0.4 0.03
5035 0.44 0.59
5037 0.54 0.3
5039 0.47 0.4
5041 0.43 0.48
5043 0.49 0.34
5045 0.4 0.11
5047 0.46 0.01
5049 0.33 0.0001
5051 0.34 0.11
5053 0.6 0.07
5055 0.37 0.0001
5057 0.43 0.37
5059 0.51 0.15
5061 0.41 0.21
5063 0.35 0.03
5065 0.37 0.01
5067 0.51 0.15
5069 0.34 0.44
5071 0.33 0.02
5073 0.48 0.45
5075 0.45 0.01
5077 0.39 0.61
5079 0.55 0.48
5081 0.44 0.31
5083 0.33 0.02
5085 0.52 0.24
5087 0.21 0.0001
5089 0.27 0.0001
5091 0.48 0.26
5093 0.4 0.3
5095 0.48 0.49
5097 0.39 0.0001
5099 0.45 0.36
5101 0.2 0.0001
5103 0.42 0.38
5105 0.4 0.03
5107 0.37 0.57
5109 0.47 0.04
5111 0.52 0.11
5113 0.35 0.0001
5115 0.32 0.03
5117 0.56 0.19
5119 0.32 0.21
5121 0.38 0.01
5125 0.49 0.06
5127 0.36 0.0001
5129 0.22 0.0001
5131 0.32 0.07
5133 0.39 0.09
5135 0.38 0.0001
5123 0.47 0.57
5137 0.37 0.0001
5139 0.46 0.3
5141 0.33 0.01
5143 0.23 0.01
5145 0.42 0.04
5147 0.48 0.41
5149 0.37 0.04
12001 0.31 0.26
12003 0.72 0.22
12005 0.62 0.15
12007 0.6 0.23
12009 0.28 0.11
12011 0.16 0.16
12013 0.76 0.16
12015 0.19 0.06
12017 0.36 0.18
12019 0.44 0.14
12021 0.28 0.14
12023 0.55 0.3
12025 0.15 0.15
12027 0.5 0.22
12029 0.74 0.14
12031 0.36 0.23
12033 0.54 0.21
12035 0.46 0.38
12037 0.61 0.21
12039 0.49 0.59
12041 0.74 0.11
12043 0.55 0.34
12045 0.72 0.24
12047 0.58 0.45
12049 0.56 0.09
12051 0.49 0.24
12053 0.4 0.21
12055 0.33 0.21
12057 0.33 0.14
12059 0.87 0.04
12061 0.24 0.21
12063 0.7 0.31
12065 0.51 0.59
12067 0.76 0.12
12069 0.34 0.19
12071 0.28 0.16
12073 0.39 0.33
12075 0.62 0.3
12077 0.77 0.15
12079 0.57 0.48
12081 0.24 0.15
12083 0.42 0.35
12085 0.24 0.2
12087 0.29 0.1
12089 0.56 0.25
12091 0.59 0.07
12093 0.53 0.16
12095 0.27 0.15
12097 0.36 0.1
12099 0.19 0.23
12101 0.3 0.11
12103 0.16 0.09
12105 0.42 0.18
12107 0.47 0.31
12113 0.67 0.07
12115 0.15 0.1
12117 0.3 0.25
